x1,v1,x2,v2
7.834722,-0.000229,7.834722,-15.695781
7.934848,11.46635,7.934848,-2.950661
8.035024,11.46635,8.035024,-6.774197
8.135019,14.014479,8.135019,0.872876
8.236141,14.014479,8.236141,2.147388
8.336343,24.206994,8.336343,7.245436
8.435883,52.23641,8.435883,22.539581
8.535317,57.332667,8.535317,36.559214
8.636276,63.702989,8.636276,36.559214
8.735946,72.621439,8.735946,37.833726
8.836292,52.23641,8.836292,36.559214
8.937233,48.414217,8.937233,23.814093
9.036743,50.962345,9.036743,21.265069
9.137894,30.577316,9.137894,21.265069
9.237939,34.399509,9.237939,21.265069
9.338251,52.23641,9.338251,19.990557
9.438563,31.85138,9.438563,14.892509
9.538766,24.206994,9.538766,12.343485
9.640626,25.481058,9.640626,9.79446
9.739141,34.399509,9.739141,16.167021
9.840047,16.562608,9.840047,8.519948
9.940023,25.481058,9.940023,9.79446
10.039973,25.481058,10.039973,9.79446
10.14007,12.740415,10.14007,-0.401636
10.24008,10.192286,10.24008,-6.774197
10.342514,-8.91868,10.342514,-22.068342
10.442489,-7.644615,10.442489,-33.538951
10.542243,-26.755581,10.542243,-51.38212
10.642667,-35.674031,10.642667,-74.323338
10.74283,-30.577774,10.74283,-79.421386
10.843101,-50.962803,10.843101,-98.539067
10.943916,-59.881254,10.943916,-111.284188
11.044298,-57.333125,11.044298,-115.107725
11.143876,-63.703447,11.143876,-121.480285
11.244673,-77.718155,11.244673,-135.499918
11.344186,-54.784996,11.344186,-117.656749
11.445001,-40.770288,11.445001,-93.441019
11.546015,-35.674031,11.546015,-71.774313
11.645779,-20.385259,11.645779,-45.00956
11.745856,5.096028,11.745856,-11.872245
11.84534,-2.548358,11.84534,-13.146757
11.946244,8.918222,11.946244,-8.048709
12.046843,15.288543,12.046843,-0.401636
12.148752,24.206994,12.148752,7.245436
12.247301,21.658865,12.247301,9.79446
12.347119,30.577316,12.347119,12.343485
12.447475,44.592024,12.447475,32.735678
12.548695,42.043895,12.548695,30.186654
12.648637,45.866088,12.648637,25.088606
12.749467,43.317959,12.749467,25.088606
12.848847,20.384801,12.848847,14.892509
12.949686,30.577316,12.949686,13.617997
13.048858,28.029187,13.048858,14.892509
13.149494,16.562608,13.149494,11.068973
13.250006,16.562608,13.250006,7.245436
13.350999,26.755123,13.350999,7.245436
13.451814,17.836672,13.451814,2.147388
13.552395,10.192286,13.552395,0.872876
13.652078,15.288543,13.652078,-0.401636
13.751423,11.46635,13.751423,-4.225173
13.852131,-19.111194,13.852131,-33.538951
13.95362,-48.414675,13.95362,-88.342971
14.053766,-57.333125,14.053766,-126.578333
14.15523,-63.703447,14.15523,-130.40187
14.256121,-80.266284,14.256121,-145.696015
14.356916,-89.184734,14.356916,-145.696015
14.457033,-84.088477,14.457033,-150.794063
14.557236,-62.429383,14.557236,-126.578333
14.657711,-68.799704,14.657711,-124.029309
