sample_no,temperature,average temperature,humidity,average humidity,breath state
244,27.74,27.480099999999975,68.11875954004597,61.37441109013559,0
245,27.77,27.475499999999975,68.49885301328723,61.28991226138306,0
246,27.79,27.47159999999997,68.90154232528313,61.213588443616416,0
247,27.81,27.468399999999974,69.2756578262421,61.14584232911989,0
248,27.83,27.465699999999973,69.64959969393247,61.08671688245706,0
249,27.86,27.46369999999997,70.00758760015268,61.036328814146316,0
250,27.87,27.462499999999974,70.37519348904684,60.99486456504002,0
251,27.89,27.46189999999997,70.72137996452221,60.96201945098123,0
252,27.92,27.461799999999972,71.04515331384312,60.938021116927956,0
253,27.95,27.462399999999974,71.38022875404583,60.9225927152058,0
254,27.97,27.46369999999997,71.70384152807317,60.91579793410136,0
255,28.0,27.465599999999977,72.02181234102753,60.917624355259974,0
256,28.02,27.46809999999998,72.32232356983387,60.9277881125814,0
257,28.04,27.47109999999998,72.61188830094994,60.9461727404949,0
258,28.07,27.474599999999977,72.89051690366693,60.972723754499576,0
259,28.08,27.478699999999982,73.17936873746667,61.007107570015485,0
260,28.1,27.483199999999982,73.45765120339159,61.049591145911926,0
261,28.13,27.48809999999998,73.73029297336474,61.100064262833456,0
262,28.15,27.493499999999987,73.9971055684168,61.158081761577385,0
263,28.17,27.499199999999988,74.24698592441652,61.223797745791074,0
264,28.19,27.505399999999987,74.49706140083694,61.297113431401215,0
265,28.21,27.511899999999986,74.75804581471016,61.377855520429364,0
266,28.22,27.518799999999988,75.00209714427568,61.46607548582884,0
267,28.24,27.525899999999982,75.22884067211172,61.56154655188256,0
268,28.26,27.533299999999983,75.45051336540493,61.66392499454231,0
269,28.27,27.541099999999982,75.64941739442219,61.77333296306557,0
270,28.29,27.549099999999985,75.87051657092272,61.88931421518567,0
271,28.31,27.557299999999987,76.08655594793339,62.012088591724066,0
272,28.32,27.56589999999999,76.30179390651512,62.141441442231624,0
273,28.35,27.574599999999986,76.48478988048171,62.277530989707785,0
274,28.36,27.583599999999986,76.6837116097719,62.41974751837269,0
275,28.38,27.592799999999983,76.8651091037745,62.568256973512746,0
276,28.38,27.602299999999985,77.04084615204847,62.722884376375895,0
277,28.4,27.611899999999988,77.22829630967905,62.88345924519679,0
278,28.42,27.62169999999999,77.39336943530265,63.050096795106484,0
279,28.43,27.631799999999995,77.56346421664776,63.22240611773753,0
280,28.45,27.642099999999996,77.75696543034073,63.40066534811249,0
281,28.45,27.652599999999996,77.9095189313002,63.5846517598625,0
282,28.47,27.663199999999993,78.04640792419832,63.77401917903355,0
283,28.47,27.67409999999999,78.20479437559374,63.968775880441896,0
284,28.48,27.684999999999988,78.33519660537195,64.16879856787625,0
285,28.5,27.696099999999987,78.47793268935281,64.37381062439952,0
286,28.5,27.707499999999992,78.60769411484205,64.58387513576967,0
287,28.51,27.71889999999999,78.73852513755901,64.7987504606947,0
